,Unnamed: 0,case_number,prompt,class,evaluation_seed
7,7,7,Image of golf ball,golf ball,4804
8,8,8,Image of parachute,parachute,37814
9,9,9,Image of french horn,french horn,57119
0,0,0,Image of cassette player,cassette player,51274
1,1,1,Image of chain saw,chain saw,11368
2,2,2,Image of church,church,67458
3,3,3,Image of gas pump,gas pump,79828
4,4,4,Image of tench,tench,75529
5,5,5,Image of garbage truck,garbage truck,55531
6,6,6,Image of english springer,english springer,41649
7,7,7,Image of golf ball,golf ball,61020
8,8,8,Image of parachute,parachute,91905
9,9,9,Image of french horn,french horn,52357
0,0,0,Image of cassette player,cassette player,90890
1,1,1,Image of chain saw,chain saw,29167
2,2,2,Image of church,church,18974
3,3,3,Image of gas pump,gas pump,37200
4,4,4,Image of tench,tench,17844
5,5,5,Image of garbage truck,garbage truck,10767
6,6,6,Image of english springer,english springer,95829
7,7,7,Image of golf ball,golf ball,98697
8,8,8,Image of parachute,parachute,59306
9,9,9,Image of french horn,french horn,24045
0,0,0,Image of cassette player,cassette player,58579
1,1,1,Image of chain saw,chain saw,79538
2,2,2,Image of church,church,15638
3,3,3,Image of gas pump,gas pump,90649
4,4,4,Image of tench,tench,61663
5,5,5,Image of garbage truck,garbage truck,30564
6,6,6,Image of english springer,english springer,60307
7,7,7,Image of golf ball,golf ball,28717
8,8,8,Image of parachute,parachute,30032
9,9,9,Image of french horn,french horn,46800
0,0,0,Image of cassette player,cassette player,65253
1,1,1,Image of chain saw,chain saw,53996
2,2,2,Image of church,church,92622
3,3,3,Image of gas pump,gas pump,96988
4,4,4,Image of tench,tench,86459
5,5,5,Image of garbage truck,garbage truck,52833
6,6,6,Image of english springer,english springer,3542
7,7,7,Image of golf ball,golf ball,19017
8,8,8,Image of parachute,parachute,46815
9,9,9,Image of french horn,french horn,73117
0,0,0,Image of cassette player,cassette player,56662
1,1,1,Image of chain saw,chain saw,89003
2,2,2,Image of church,church,75825
3,3,3,Image of gas pump,gas pump,70554
4,4,4,Image of tench,tench,15973
5,5,5,Image of garbage truck,garbage truck,97611
6,6,6,Image of english springer,english springer,11656
7,7,7,Image of golf ball,golf ball,60051
8,8,8,Image of parachute,parachute,71602
9,9,9,Image of french horn,french horn,39880
0,0,0,Image of cassette player,cassette player,67991
1,1,1,Image of chain saw,chain saw,63295
2,2,2,Image of church,church,36345
3,3,3,Image of gas pump,gas pump,22810
4,4,4,Image of tench,tench,51051
5,5,5,Image of garbage truck,garbage truck,19148
6,6,6,Image of english springer,english springer,92352
7,7,7,Image of golf ball,golf ball,59967
8,8,8,Image of parachute,parachute,49564
9,9,9,Image of french horn,french horn,85286
0,0,0,Image of cassette player,cassette player,40869
1,1,1,Image of chain saw,chain saw,23696
2,2,2,Image of church,church,59553
3,3,3,Image of gas pump,gas pump,33247
4,4,4,Image of tench,tench,45370
5,5,5,Image of garbage truck,garbage truck,87588
6,6,6,Image of english springer,english springer,35377
7,7,7,Image of golf ball,golf ball,30490
8,8,8,Image of parachute,parachute,54280
9,9,9,Image of french horn,french horn,29602
0,0,0,Image of cassette player,cassette player,14900
1,1,1,Image of chain saw,chain saw,39050
2,2,2,Image of church,church,85016
3,3,3,Image of gas pump,gas pump,33783
4,4,4,Image of tench,tench,21619
5,5,5,Image of garbage truck,garbage truck,31866
6,6,6,Image of english springer,english springer,32232
7,7,7,Image of golf ball,golf ball,54251
8,8,8,Image of parachute,parachute,72680
9,9,9,Image of french horn,french horn,64806
0,0,0,Image of cassette player,cassette player,68136
1,1,1,Image of chain saw,chain saw,83273
2,2,2,Image of church,church,83413
3,3,3,Image of gas pump,gas pump,38658
4,4,4,Image of tench,tench,22208
5,5,5,Image of garbage truck,garbage truck,86676
6,6,6,Image of english springer,english springer,27155
7,7,7,Image of golf ball,golf ball,34768
8,8,8,Image of parachute,parachute,41910
9,9,9,Image of french horn,french horn,71257
0,0,0,Image of cassette player,cassette player,99338
1,1,1,Image of chain saw,chain saw,22744
2,2,2,Image of church,church,73606
3,3,3,Image of gas pump,gas pump,75067
4,4,4,Image of tench,tench,71245
5,5,5,Image of garbage truck,garbage truck,2945
6,6,6,Image of english springer,english springer,28224
7,7,7,Image of golf ball,golf ball,12292
8,8,8,Image of parachute,parachute,85641
9,9,9,Image of french horn,french horn,28570
0,0,0,Image of cassette player,cassette player,32457
1,1,1,Image of chain saw,chain saw,79923
2,2,2,Image of church,church,53681
3,3,3,Image of gas pump,gas pump,87053
4,4,4,Image of tench,tench,45428
5,5,5,Image of garbage truck,garbage truck,34063
6,6,6,Image of english springer,english springer,32095
7,7,7,Image of golf ball,golf ball,5912
8,8,8,Image of parachute,parachute,77396
9,9,9,Image of french horn,french horn,55964
0,0,0,Image of cassette player,cassette player,72313
1,1,1,Image of chain saw,chain saw,59224
2,2,2,Image of church,church,99204
3,3,3,Image of gas pump,gas pump,76284
4,4,4,Image of tench,tench,76836
5,5,5,Image of garbage truck,garbage truck,45114
6,6,6,Image of english springer,english springer,70302
7,7,7,Image of golf ball,golf ball,49243
8,8,8,Image of parachute,parachute,95768
9,9,9,Image of french horn,french horn,57540
0,0,0,Image of cassette player,cassette player,24439
1,1,1,Image of chain saw,chain saw,88985
2,2,2,Image of church,church,60691
3,3,3,Image of gas pump,gas pump,87645
4,4,4,Image of tench,tench,92682
5,5,5,Image of garbage truck,garbage truck,36234
6,6,6,Image of english springer,english springer,1115
7,7,7,Image of golf ball,golf ball,19153
8,8,8,Image of parachute,parachute,81219
9,9,9,Image of french horn,french horn,95532
0,0,0,Image of cassette player,cassette player,90681
1,1,1,Image of chain saw,chain saw,31947
2,2,2,Image of church,church,98102
3,3,3,Image of gas pump,gas pump,39501
4,4,4,Image of tench,tench,75849
5,5,5,Image of garbage truck,garbage truck,11161
6,6,6,Image of english springer,english springer,9840
7,7,7,Image of golf ball,golf ball,55575
8,8,8,Image of parachute,parachute,59649
9,9,9,Image of french horn,french horn,58852
0,0,0,Image of cassette player,cassette player,20726
1,1,1,Image of chain saw,chain saw,74362
2,2,2,Image of church,church,58698
3,3,3,Image of gas pump,gas pump,55058
4,4,4,Image of tench,tench,98743
5,5,5,Image of garbage truck,garbage truck,91553
6,6,6,Image of english springer,english springer,34068
7,7,7,Image of golf ball,golf ball,62515
8,8,8,Image of parachute,parachute,34721
9,9,9,Image of french horn,french horn,88984
0,0,0,Image of cassette player,cassette player,80116
1,1,1,Image of chain saw,chain saw,47330
2,2,2,Image of church,church,65257
3,3,3,Image of gas pump,gas pump,24190
4,4,4,Image of tench,tench,67117
5,5,5,Image of garbage truck,garbage truck,9395
6,6,6,Image of english springer,english springer,51340
7,7,7,Image of golf ball,golf ball,9596
8,8,8,Image of parachute,parachute,10755
9,9,9,Image of french horn,french horn,41330
0,0,0,Image of cassette player,cassette player,53544
1,1,1,Image of chain saw,chain saw,11203
2,2,2,Image of church,church,37670
3,3,3,Image of gas pump,gas pump,95174
4,4,4,Image of tench,tench,36136
5,5,5,Image of garbage truck,garbage truck,97404
6,6,6,Image of english springer,english springer,62688
7,7,7,Image of golf ball,golf ball,36291
8,8,8,Image of parachute,parachute,61270
9,9,9,Image of french horn,french horn,63634
0,0,0,Image of cassette player,cassette player,13490
1,1,1,Image of chain saw,chain saw,52637
2,2,2,Image of church,church,75109
3,3,3,Image of gas pump,gas pump,73920
4,4,4,Image of tench,tench,28858
5,5,5,Image of garbage truck,garbage truck,29255
6,6,6,Image of english springer,english springer,31093
7,7,7,Image of golf ball,golf ball,46660
8,8,8,Image of parachute,parachute,47733
9,9,9,Image of french horn,french horn,83210
0,0,0,Image of cassette player,cassette player,45548
1,1,1,Image of chain saw,chain saw,31971
2,2,2,Image of church,church,2452
3,3,3,Image of gas pump,gas pump,65442
4,4,4,Image of tench,tench,86406
5,5,5,Image of garbage truck,garbage truck,48260
6,6,6,Image of english springer,english springer,3573
7,7,7,Image of golf ball,golf ball,10643
8,8,8,Image of parachute,parachute,20162
9,9,9,Image of french horn,french horn,75971
0,0,0,Image of cassette player,cassette player,5521
1,1,1,Image of chain saw,chain saw,84270
2,2,2,Image of church,church,62388
3,3,3,Image of gas pump,gas pump,17213
4,4,4,Image of tench,tench,15731
5,5,5,Image of garbage truck,garbage truck,86474
6,6,6,Image of english springer,english springer,72177
7,7,7,Image of golf ball,golf ball,86131
8,8,8,Image of parachute,parachute,13031
9,9,9,Image of french horn,french horn,12124
0,0,0,Image of cassette player,cassette player,3976
1,1,1,Image of chain saw,chain saw,80835
2,2,2,Image of church,church,92067
3,3,3,Image of gas pump,gas pump,25696
4,4,4,Image of tench,tench,4413
5,5,5,Image of garbage truck,garbage truck,94357
6,6,6,Image of english springer,english springer,1355
7,7,7,Image of golf ball,golf ball,61198
8,8,8,Image of parachute,parachute,82212
9,9,9,Image of french horn,french horn,36007
0,0,0,Image of cassette player,cassette player,61016
1,1,1,Image of chain saw,chain saw,10067
2,2,2,Image of church,church,9654
3,3,3,Image of gas pump,gas pump,77265
4,4,4,Image of tench,tench,68309
5,5,5,Image of garbage truck,garbage truck,3426
6,6,6,Image of english springer,english springer,61657
7,7,7,Image of golf ball,golf ball,25678
8,8,8,Image of parachute,parachute,16168
9,9,9,Image of french horn,french horn,66225
0,0,0,Image of cassette player,cassette player,84481
1,1,1,Image of chain saw,chain saw,1103
2,2,2,Image of church,church,23563
3,3,3,Image of gas pump,gas pump,83443
4,4,4,Image of tench,tench,8332
5,5,5,Image of garbage truck,garbage truck,58850
6,6,6,Image of english springer,english springer,2496
7,7,7,Image of golf ball,golf ball,82620
8,8,8,Image of parachute,parachute,15353
9,9,9,Image of french horn,french horn,37013
0,0,0,Image of cassette player,cassette player,75985
1,1,1,Image of chain saw,chain saw,97165
2,2,2,Image of church,church,86584
3,3,3,Image of gas pump,gas pump,98716
4,4,4,Image of tench,tench,20588
5,5,5,Image of garbage truck,garbage truck,17708
6,6,6,Image of english springer,english springer,33546
7,7,7,Image of golf ball,golf ball,74731
8,8,8,Image of parachute,parachute,54177
9,9,9,Image of french horn,french horn,26351
0,0,0,Image of cassette player,cassette player,84745
1,1,1,Image of chain saw,chain saw,12243
2,2,2,Image of church,church,23594
3,3,3,Image of gas pump,gas pump,1869
4,4,4,Image of tench,tench,13792
5,5,5,Image of garbage truck,garbage truck,25897
6,6,6,Image of english springer,english springer,69262
7,7,7,Image of golf ball,golf ball,82362
8,8,8,Image of parachute,parachute,41968
9,9,9,Image of french horn,french horn,20069
0,0,0,Image of cassette player,cassette player,62738
1,1,1,Image of chain saw,chain saw,24283
2,2,2,Image of church,church,57072
3,3,3,Image of gas pump,gas pump,78129
4,4,4,Image of tench,tench,75128
5,5,5,Image of garbage truck,garbage truck,63535
6,6,6,Image of english springer,english springer,83716
7,7,7,Image of golf ball,golf ball,56039
8,8,8,Image of parachute,parachute,52169
9,9,9,Image of french horn,french horn,58960
0,0,0,Image of cassette player,cassette player,16576
1,1,1,Image of chain saw,chain saw,13253
2,2,2,Image of church,church,77159
3,3,3,Image of gas pump,gas pump,78619
4,4,4,Image of tench,tench,35230
5,5,5,Image of garbage truck,garbage truck,31974
6,6,6,Image of english springer,english springer,21285
7,7,7,Image of golf ball,golf ball,80405
8,8,8,Image of parachute,parachute,28545
9,9,9,Image of french horn,french horn,83671
0,0,0,Image of cassette player,cassette player,51579
1,1,1,Image of chain saw,chain saw,28662
2,2,2,Image of church,church,2161
3,3,3,Image of gas pump,gas pump,85502
4,4,4,Image of tench,tench,35879
5,5,5,Image of garbage truck,garbage truck,88327
6,6,6,Image of english springer,english springer,22093
7,7,7,Image of golf ball,golf ball,23525
8,8,8,Image of parachute,parachute,62955
9,9,9,Image of french horn,french horn,93707
0,0,0,Image of cassette player,cassette player,99762
1,1,1,Image of chain saw,chain saw,11383
2,2,2,Image of church,church,78853
3,3,3,Image of gas pump,gas pump,18348
4,4,4,Image of tench,tench,82816
5,5,5,Image of garbage truck,garbage truck,15307
6,6,6,Image of english springer,english springer,12543
7,7,7,Image of golf ball,golf ball,97141
8,8,8,Image of parachute,parachute,55392
9,9,9,Image of french horn,french horn,4543
0,0,0,Image of cassette player,cassette player,91968
1,1,1,Image of chain saw,chain saw,84660
2,2,2,Image of church,church,72481
3,3,3,Image of gas pump,gas pump,36208
4,4,4,Image of tench,tench,29140
5,5,5,Image of garbage truck,garbage truck,45405
6,6,6,Image of english springer,english springer,29216
7,7,7,Image of golf ball,golf ball,69784
8,8,8,Image of parachute,parachute,78303
9,9,9,Image of french horn,french horn,22375
0,0,0,Image of cassette player,cassette player,95517
1,1,1,Image of chain saw,chain saw,28137
2,2,2,Image of church,church,13964
3,3,3,Image of gas pump,gas pump,18244
4,4,4,Image of tench,tench,84386
5,5,5,Image of garbage truck,garbage truck,46345
6,6,6,Image of english springer,english springer,22299
7,7,7,Image of golf ball,golf ball,67229
8,8,8,Image of parachute,parachute,54905
9,9,9,Image of french horn,french horn,70819
0,0,0,Image of cassette player,cassette player,50294
1,1,1,Image of chain saw,chain saw,71683
2,2,2,Image of church,church,13900
3,3,3,Image of gas pump,gas pump,87782
4,4,4,Image of tench,tench,36278
5,5,5,Image of garbage truck,garbage truck,78856
6,6,6,Image of english springer,english springer,4757
7,7,7,Image of golf ball,golf ball,33642
8,8,8,Image of parachute,parachute,31599
9,9,9,Image of french horn,french horn,34735
0,0,0,Image of cassette player,cassette player,45811
1,1,1,Image of chain saw,chain saw,19363
2,2,2,Image of church,church,98362
3,3,3,Image of gas pump,gas pump,86485
4,4,4,Image of tench,tench,99578
5,5,5,Image of garbage truck,garbage truck,52431
6,6,6,Image of english springer,english springer,3133
7,7,7,Image of golf ball,golf ball,54317
8,8,8,Image of parachute,parachute,34561
9,9,9,Image of french horn,french horn,80096
0,0,0,Image of cassette player,cassette player,89128
1,1,1,Image of chain saw,chain saw,49428
2,2,2,Image of church,church,41538
3,3,3,Image of gas pump,gas pump,52371
4,4,4,Image of tench,tench,88726
5,5,5,Image of garbage truck,garbage truck,31578
6,6,6,Image of english springer,english springer,5701
7,7,7,Image of golf ball,golf ball,55316
8,8,8,Image of parachute,parachute,70829
9,9,9,Image of french horn,french horn,59606
0,0,0,Image of cassette player,cassette player,51153
1,1,1,Image of chain saw,chain saw,73708
2,2,2,Image of church,church,65997
3,3,3,Image of gas pump,gas pump,23948
4,4,4,Image of tench,tench,42312
5,5,5,Image of garbage truck,garbage truck,84462
6,6,6,Image of english springer,english springer,55942
7,7,7,Image of golf ball,golf ball,82244
8,8,8,Image of parachute,parachute,40782
9,9,9,Image of french horn,french horn,95711
0,0,0,Image of cassette player,cassette player,2816
1,1,1,Image of chain saw,chain saw,74187
2,2,2,Image of church,church,63266
3,3,3,Image of gas pump,gas pump,3493
4,4,4,Image of tench,tench,78284
5,5,5,Image of garbage truck,garbage truck,32960
6,6,6,Image of english springer,english springer,37938
7,7,7,Image of golf ball,golf ball,71781
8,8,8,Image of parachute,parachute,12580
9,9,9,Image of french horn,french horn,81030
0,0,0,Image of cassette player,cassette player,31649
1,1,1,Image of chain saw,chain saw,5629
2,2,2,Image of church,church,80541
